job_title,skill_required,location,link
DevSecOps,"software engineering, data development solutions, cybersecurity analyst",SANTANDERTECHHUB-PROFILES,2022-11-11 Job description junior positions-page0.pdf
Technology Talent,"Broad spectrum technologies (including Blockchain, Big Data, Angular) for all kinds of premise & cloud-based platforms","Poland, Portugal, Spain, UK, Mexico, Brazil and Chile",2022-11-11 Job description junior positions-page1.pdf
DevSecOps Engineer,"Collaboration, architecture, design, deployment solutions, system integration, automation, execution support, pipeline deployments, ALM tools, cyber security, SW deployments, automation functional regression tests, continuous integration, environments infrastructures, continuous monitoring, automatic deployment tools (Terraform, Ansible, etc.), cloud architectures (vCloud, Azure/AWS), monitoring tools, OpenShift/DockerHub/Kubernetes/CloudALM, Jira/Confluence, Git, Jenkins (CloudBees), Nexus, SonarHarbour, scripting languages (Groovy, Python, JavaScript, etc.), PostgreSQL, MongoDB, AzureCosmosDB",SANTANDERTECHHUB,2022-11-11 Job description junior positions-page2.pdf
New technologies specialist,"Kafka, Java8 (JDK11/17), Spring Cloud Stream, Spring Boot, Spring Cloud (Web, Data, JPA), Spring Framework Reactive, WebFlux, Microservices, Event-Driven architecture, MongoDB, Neo4J, SaaS software level, Openshift, K8S, Flink",,2022-11-11 Job description junior positions-page4.pdf
Data Management Solution Delivery,"Cloudera/Spark/SnowFlake/Databricks/Stratio/Hive/Impala/HBase, Spark Streaming/Flink/Storm, API Ecosystems, HDFS, S3, Kafka, Scala/Python/Java, CI/CD, Google/AWS/Azure",SantanderTechHub,2022-11-11 Job description junior positions-page5.pdf
Data Pipeline Developer,"Bachelor/Degree/Master in STEM (Science, Technology, Engineering and Mathematics), latest trends, technologies and programming languages, team spirit, communication skills, interpersonal skills, problem solver, creative, goal oriented, eager to learn, English: B2/C1",SantanderTechHub,2022-11-11 Job description junior positions-page5.pdf
Cybersecurity Analyst,"Internal and external vulnerability management, support governance Secure Development (S-SDLC), implementation of global cybersecurity projects, monitoring and improvement of entity's KPIs, execution of cybersecurity controls aligned with the group's strategy, analyzing cybersecurity events to detect and respond to threats, resolving cybersecurity incidents in a timely manner, support in developing cybersecurity event plans, and manage data leakage prevention measures",Santander Tech Hub,2022-11-11 Job description junior positions-page6.pdf
Required qualifications,"Bachelor's/Master's degree in Science, Technology, Engineering, and Mathematics (STEM). Graduates in Mathematics, Computer Engineering, Telecommunications, Statistics, Physics, or similar. Passion for the latest trends, technologies, and programming languages. Team spirit, communication skills, interpersonal skills, problem-solver, creative, and goal-oriented. Eager to learn. English: B2/C1. Knowledge of subjects such as cybersecurity incident/event management, implementing/monitoring cybersecurity controls, vulnerability lifecycle management, and SSDLC/Knowledge of cybersecurity management application development lifecycle",Santander Tech Hub,2022-11-11 Job description junior positions-page6.pdf
Technology Specialist,"In-depth knowledge technology, cybersecurity solutions frameworks as NIST. Cybersecurity Cloud (Azure, AWS)",Santander Tech Hub,2022-11-11 Job description junior positions-page7.pdf
Execution Management Project Analyst,"Consulting, Project Management, Business Analysis","Málaga, Spain",2022-page0.pdf
Execution Management Project Analyst,"Project management skills, Financial knowledge, Consulting skills",Malaga,2022-page2.pdf
Analista BMC-SBGM Consulting,"Operational management skills, Consulting skills",Malaga,2022-page2.pdf
